id,x,y,z
TEST_00001,3.9894497,-1.0545694,0.04747436
TEST_00002,1.9225559,0.6129437,0.8007223
TEST_00003,0.8041407,-0.19154519,0.14891869
TEST_00004,3.5181618,-1.6511811,-0.9475018
TEST_00005,2.2998037,0.016523778,-0.039347477
TEST_00006,4.9970922,-0.79129475,0.50240153
TEST_00007,2.8990529,0.99993783,0.8363326
TEST_00008,1.4285016,-0.4621399,0.42581186
TEST_00009,1.4453138,0.4806822,0.15318891
TEST_00010,2.2481055,-0.41087314,0.17785504
TEST_00011,2.3345444,-0.46777672,0.023441313
TEST_00012,4.01051,1.5040461,0.9029838
TEST_00013,2.549652,0.58130014,-0.31189656
TEST_00014,2.154705,1.4903429,-0.2115221
TEST_00015,2.9984157,-0.6942787,0.8748035
TEST_00016,3.2844489,0.5051487,-0.5452098
TEST_00017,4.003588,0.8483047,1.162051
TEST_00018,3.0696516,0.2586945,-0.48516566
TEST_00019,1.4094566,0.086039364,0.29392314
TEST_00020,1.8764809,0.06379032,0.033300217
TEST_00021,3.5110195,-0.3733574,-0.14580092
TEST_00022,1.3954161,0.2944445,-0.28541207
TEST_00023,2.1340358,0.40494546,0.6832633
TEST_00024,3.7613451,-0.58906376,0.8214471
TEST_00025,4.932356,1.6157107,1.2177426
TEST_00026,1.7885342,-0.5985425,-0.5081849
TEST_00027,3.4698098,0.18912709,-0.3548002
TEST_00028,3.4223917,0.48520967,-0.060604103
TEST_00029,2.1713178,-1.1457933,1.3463448
TEST_00030,3.5317237,-0.19223058,1.2347442
TEST_00031,1.3342872,-0.941813,-0.10145237
TEST_00032,2.4969122,-0.81545097,-0.020553812
TEST_00033,2.157014,-0.5898543,0.4754497
TEST_00034,1.986313,-0.15377468,0.40105444
TEST_00035,2.0579748,-0.17970952,-0.21851337
TEST_00036,3.518643,-1.4083512,-0.546251
TEST_00037,2.8329473,-1.5812454,0.18621099
TEST_00038,0.962511,0.39671856,-0.32310814
TEST_00039,5.1594157,0.7756705,-1.1304172
TEST_00040,2.3641725,0.3165679,-0.2599865
TEST_00041,3.2219608,-0.4135768,0.69575053
TEST_00042,3.3459804,-1.5134375,-0.51036847
TEST_00043,4.088462,1.6742436,0.89945847
TEST_00044,2.416549,-0.7547337,-0.22390214
TEST_00045,1.5576833,0.4074377,-0.12020819
TEST_00046,4.4520392,-0.1787292,0.6128974
TEST_00047,1.4835832,-0.26331422,-0.22633512
TEST_00048,4.1480265,-0.9421472,0.49256632
TEST_00049,2.2232862,0.32218337,0.3022481
TEST_00050,1.0762544,0.54396737,-0.24305445
TEST_00051,3.2189302,-0.36356312,-1.0503674
TEST_00052,4.394935,0.57493436,1.5102143
TEST_00053,2.7852862,0.06771735,0.15931693
TEST_00054,2.541579,0.22529352,1.0054451
TEST_00055,1.547151,0.08360492,0.36208865
TEST_00056,3.375881,-0.7708186,-1.1108949
TEST_00057,1.3321451,0.20932668,-0.18030562
TEST_00058,3.5340006,-0.6247007,-0.27744043
TEST_00059,3.1887786,-0.4558171,-0.13584112
TEST_00060,2.018426,-0.9432481,-0.64329886
TEST_00061,1.9349424,0.008611798,0.3416274
TEST_00062,2.1755865,0.03925114,0.7930591
TEST_00063,2.7080698,-0.012115374,-0.7438692
TEST_00064,1.8501923,-0.23958701,0.54250735
TEST_00065,2.8593004,-1.3819224,-0.743517
TEST_00066,2.3012981,0.52514935,-0.33108276
TEST_00067,3.6618721,0.12953767,0.19707763
TEST_00068,3.115733,-0.21433288,0.041491628
TEST_00069,3.05943,-0.4301364,-0.2760182
TEST_00070,1.3525441,0.5168601,0.524096
TEST_00071,2.681581,-0.7869771,0.6736323
TEST_00072,2.2446911,1.0296888,0.780282
TEST_00073,3.11884,-1.1859176,0.9237239
TEST_00074,1.3432132,0.5325429,0.225671
TEST_00075,0.9273729,0.33243465,-0.26233083
TEST_00076,3.968027,0.19480729,1.0445849
TEST_00077,3.34979,-1.3258666,-1.082662
TEST_00078,1.2687632,-0.4722313,0.19280685
TEST_00079,4.7426043,-1.4002964,1.3184094
TEST_00080,1.4313223,0.49018082,0.41502485
TEST_00081,3.6235285,-1.1701123,1.2477236
TEST_00082,2.211907,0.20489252,0.40078574
TEST_00083,2.994585,0.6508759,0.5711197
TEST_00084,2.601142,0.3040573,-0.19041815
TEST_00085,1.9668881,-0.4354357,0.03265139
TEST_00086,2.1050546,1.2888985,0.20396584
TEST_00087,3.9154544,-0.8828606,0.606796
TEST_00088,5.2370124,-2.1970246,1.3181915
TEST_00089,3.3181071,-0.002879694,0.14792262
TEST_00090,3.0271547,0.6160722,0.47176522
TEST_00091,1.2331347,-0.31331867,0.21653275
TEST_00092,2.0045793,-0.46845382,-0.5244615
TEST_00093,2.4471102,0.4981946,-0.3703234
TEST_00094,1.7762815,0.57819813,0.2737106
TEST_00095,3.8460171,-0.21846491,-0.87960297
TEST_00096,2.0941436,0.81991774,-0.43273452
TEST_00097,2.8149755,-0.093608044,0.2389468
TEST_00098,4.807054,-1.0791351,-0.11841339
TEST_00099,3.665933,0.82284915,0.7314397
TEST_00100,1.039154,0.29358107,0.36912966
TEST_00101,1.5932966,-0.3436606,-0.10323656
TEST_00102,1.842115,0.4972571,0.4210221
TEST_00103,3.7179983,0.08281356,0.7905917
TEST_00104,2.0036347,0.0762539,-0.26594254
TEST_00105,1.2654089,0.5196001,0.39080426
TEST_00106,3.1610463,-0.083070464,-1.1042863
TEST_00107,4.173932,-0.38769737,1.0806836
