id,x,y,z
TEST_00001,3.9893596,-1.0515615,0.04553889
TEST_00002,1.9241406,0.6154879,0.80017793
TEST_00003,0.8053928,-0.19004089,0.14997561
TEST_00004,3.5164714,-1.6483401,-0.94421923
TEST_00005,2.3029282,0.018423578,-0.039784994
TEST_00006,4.9984403,-0.7902245,0.49574745
TEST_00007,2.8982956,1.0017926,0.8353206
TEST_00008,1.4459918,-0.4472679,0.41697142
TEST_00009,1.4464864,0.48754779,0.14342493
TEST_00010,2.2519693,-0.41229373,0.17047185
TEST_00011,2.332657,-0.46462172,0.019987177
TEST_00012,4.0144677,1.5046765,0.8968281
TEST_00013,2.551866,0.5828715,-0.31269532
TEST_00014,2.1547601,1.491877,-0.21068364
TEST_00015,3.0010207,-0.6921269,0.869678
TEST_00016,3.2879813,0.5083095,-0.5340847
TEST_00017,4.005845,0.853312,1.1597434
TEST_00018,3.0706522,0.2611919,-0.48767936
TEST_00019,1.4119853,0.08652023,0.2911606
TEST_00020,1.8770659,0.06542626,0.030897759
TEST_00021,3.511446,-0.36876884,-0.14349157
TEST_00022,1.396597,0.2979637,-0.2834926
TEST_00023,2.1341312,0.40617687,0.6771519
TEST_00024,3.762044,-0.58695424,0.8169292
TEST_00025,4.9258504,1.6165707,1.2177188
TEST_00026,1.7905735,-0.5950683,-0.5095998
TEST_00027,3.4579194,0.18928353,-0.3427691
TEST_00028,3.4262457,0.4889866,-0.060983106
TEST_00029,2.178047,-1.145081,1.3371342
TEST_00030,3.5378394,-0.1930074,1.2264878
TEST_00031,1.3421965,-0.926432,-0.10000697
TEST_00032,2.500153,-0.81054395,-0.021916268
TEST_00033,2.152978,-0.5895517,0.4714917
TEST_00034,1.987129,-0.15194127,0.39589292
TEST_00035,2.0560713,-0.16524047,-0.2205658
TEST_00036,3.519216,-1.4063165,-0.54573697
TEST_00037,2.8356166,-1.5792191,0.18360385
TEST_00038,0.96487635,0.39840338,-0.32425073
TEST_00039,5.159866,0.7765075,-1.1299332
TEST_00040,2.3691273,0.31902525,-0.26806843
TEST_00041,3.222527,-0.4115074,0.69485325
TEST_00042,3.349388,-1.5131986,-0.51126164
TEST_00043,4.088677,1.6753559,0.8970942
TEST_00044,2.4142528,-0.76001745,-0.23145658
TEST_00045,1.5595586,0.41041678,-0.12012539
TEST_00046,4.45415,-0.18333238,0.60564125
TEST_00047,1.4812787,-0.26190743,-0.22682673
TEST_00048,4.1486354,-0.9412846,0.49192214
TEST_00049,2.2138324,0.30353925,0.2955309
TEST_00050,1.0761608,0.5489561,-0.24215993
TEST_00051,3.2184694,-0.3617846,-1.0482292
TEST_00052,4.3926244,0.5765804,1.5070451
TEST_00053,2.787599,0.06848025,0.15821448
TEST_00054,2.542879,0.22605228,0.99512744
TEST_00055,1.5459259,0.086913824,0.3624546
TEST_00056,3.3764784,-0.7687484,-1.1112628
TEST_00057,1.3330147,0.20862722,-0.18449175
TEST_00058,3.5323718,-0.61733365,-0.2727676
TEST_00059,3.1907673,-0.45207208,-0.13800324
TEST_00060,2.0200992,-0.9399395,-0.64404374
TEST_00061,1.9310677,0.015564524,0.34123352
TEST_00062,2.1776495,0.042699225,0.79040104
TEST_00063,2.7092714,-0.01172523,-0.74376386
TEST_00064,1.8516582,-0.23872285,0.54266506
TEST_00065,2.8592665,-1.3795286,-0.74526834
TEST_00066,2.3017097,0.525266,-0.33069435
TEST_00067,3.6603568,0.12942109,0.19352031
TEST_00068,3.1231327,-0.21557605,0.038989898
TEST_00069,3.0596647,-0.4239034,-0.27455524
TEST_00070,1.3545718,0.519854,0.5228825
TEST_00071,2.6837566,-0.7872717,0.66817224
TEST_00072,2.2420468,1.0271163,0.7778787
TEST_00073,3.122172,-1.183774,0.92003834
TEST_00074,1.3443582,0.53303456,0.2213755
TEST_00075,0.92754847,0.32989573,-0.26571506
TEST_00076,3.9693527,0.19758898,1.0416174
TEST_00077,3.3523335,-1.3230687,-1.0875387
TEST_00078,1.2701949,-0.47052422,0.19105099
TEST_00079,4.7418594,-1.396681,1.3062719
TEST_00080,1.4326308,0.4895525,0.41186574
TEST_00081,3.6255476,-1.166656,1.2459569
TEST_00082,2.2124467,0.20446624,0.3995741
TEST_00083,2.9961638,0.65231514,0.56878865
TEST_00084,2.6022565,0.30748534,-0.1880193
TEST_00085,1.9699353,-0.4325824,0.028902791
TEST_00086,2.1062741,1.2911568,0.20261465
TEST_00087,3.9146569,-0.8766262,0.60639304
TEST_00088,5.2375035,-2.1967762,1.3166316
TEST_00089,3.3115518,-0.00077836215,0.14927289
TEST_00090,3.027797,0.61988455,0.47505295
TEST_00091,1.2374932,-0.3160874,0.21190521
TEST_00092,2.0044608,-0.46715873,-0.525873
TEST_00093,2.4471126,0.4996713,-0.36735818
TEST_00094,1.7756991,0.57888985,0.27021277
TEST_00095,3.8437655,-0.21555561,-0.87497455
TEST_00096,2.0951235,0.8211838,-0.4300748
TEST_00097,2.8142846,-0.088445805,0.24367023
TEST_00098,4.8073707,-1.0763317,-0.11831006
TEST_00099,3.6621804,0.81896245,0.72624195
TEST_00100,1.0387932,0.29429328,0.36672118
TEST_00101,1.5949397,-0.34234598,-0.10542073
TEST_00102,1.842059,0.4985146,0.41907173
TEST_00103,3.7232528,0.08363946,0.7932752
TEST_00104,2.005311,0.076662965,-0.26754224
TEST_00105,1.2649643,0.52011746,0.38974917
TEST_00106,3.161658,-0.08087294,-1.1036271
TEST_00107,4.1759777,-0.3846311,1.0734742
TEST_00108,2.9984534,-1.0644355,-0.49933207
TEST_00109,1.0212984,-0.17287678,-0.12214233
TEST_00110,2.5505733,-1.6551771,0.43034762
TEST_00111,2.9989913,-0.42742428,-0.6457374
TEST_00112,3.5283396,0.48624212,-0.58185124
TEST_00113,3.0597963,-0.15155503,0.4753901
TEST_00114,2.8337595,-0.4434263,1.195254
TEST_00115,1.2096269,-0.18203978,0.38970488
TEST_00116,3.693354,-0.8539863,-0.7161589
TEST_00117,3.1330037,0.45757172,0.7460958
TEST_00118,1.6779906,0.61403877,0.49624357
TEST_00119,4.8528314,-0.027267559,-0.35963884
TEST_00120,2.715076,-0.9987402,0.50170696
TEST_00121,4.853357,-1.0329276,1.31771
TEST_00122,4.269172,0.5131568,0.559249
TEST_00123,1.7065865,0.9263133,-0.103673115
TEST_00124,1.7420503,0.19566259,-0.1906309
TEST_00125,2.126063,-0.7793693,0.73938555
TEST_00126,1.5266819,-0.35433802,-0.30962235
TEST_00127,1.9158458,0.33030537,0.13513574
TEST_00128,3.3299012,1.9563112,0.52552557
TEST_00129,3.5466032,0.44795668,0.46761826
TEST_00130,2.7098408,-0.13295063,-0.012257859
TEST_00131,1.5867506,0.10947205,0.29723668
TEST_00132,4.5039577,0.5913596,0.61283785
TEST_00133,2.3388393,0.6379455,0.4944747
TEST_00134,1.4215007,0.7878667,0.407885
TEST_00135,2.045469,0.92588186,0.3435184
TEST_00136,3.362434,-0.117910884,-1.0029542
TEST_00137,1.8281871,0.85144645,-0.7225759
TEST_00138,3.164301,0.5579092,-0.8094864
TEST_00139,1.7889998,-0.7774957,-0.5043346
TEST_00140,0.89263356,0.51284695,0.285614
TEST_00141,1.9558665,-0.56050533,0.13469157
TEST_00142,1.1586554,-0.05954823,0.22342081
TEST_00143,4.204447,0.17268203,0.95900047
TEST_00144,2.1333895,-0.19781035,-0.08034136
TEST_00145,5.1737885,0.012606621,-0.5519581
TEST_00146,3.0673888,-0.21855733,-1.2822824
TEST_00147,2.2012508,-0.08392683,0.7352294
TEST_00148,2.7997952,1.0022268,-0.5782298
TEST_00149,3.3626633,1.1912609,0.54014087
TEST_00150,4.736638,1.0740135,0.80340034
TEST_00151,2.3029218,0.098212644,-0.13278134
TEST_00152,2.4510474,0.81770515,0.42156348
TEST_00153,3.7427976,-0.37758103,-0.5770618
TEST_00154,2.9572067,0.23315609,-0.22081372
TEST_00155,1.9792461,0.18119732,-0.59032404
TEST_00156,1.9467629,-0.47406438,0.39944795
TEST_00157,2.3906455,-0.5611738,0.6128633
TEST_00158,2.6648796,-1.4339014,1.0776949
TEST_00159,3.8419464,-1.2375144,2.1130412
TEST_00160,1.5108107,-0.019364163,-0.078193694
TEST_00161,1.1292744,0.5982799,0.026790874
TEST_00162,1.3217709,0.9344515,-0.08020995
TEST_00163,3.7182567,0.20040122,0.054666396
TEST_00164,2.5046334,0.078088224,1.0430405
TEST_00165,1.9016364,0.4567016,0.50377715
TEST_00166,2.9398448,-0.5666838,-0.17678253
TEST_00167,3.7868257,-0.05619369,0.2700001
TEST_00168,5.4916925,0.30988917,0.09719455
TEST_00169,2.6173549,-0.47293368,-0.18503092
TEST_00170,0.900483,0.3985601,0.2793998
TEST_00171,3.4636948,-0.1517797,-0.060422983
TEST_00172,4.976223,0.78643024,-0.8804271
TEST_00173,1.2938145,0.17852174,-0.0787639
TEST_00174,3.1304765,1.93544,-0.18267421
TEST_00175,3.3973465,0.5885756,0.51826
TEST_00176,0.9821942,-0.6092989,-0.17677797
TEST_00177,1.5382085,0.76182526,-0.21799207
TEST_00178,5.227583,0.5591732,-0.13073142
TEST_00179,3.8286915,1.4315506,0.12623498
TEST_00180,3.147352,0.3861983,0.2695001
TEST_00181,2.899358,0.17015639,0.021488491
TEST_00182,1.4756162,-0.41936362,-0.31979683
TEST_00183,2.0709984,-0.1862402,0.3661255
TEST_00184,3.0903344,-0.10078027,-0.260266
TEST_00185,3.0239654,0.8464521,-0.44028425
TEST_00186,2.4519832,-0.107129216,-0.3872747
TEST_00187,3.6159046,-0.65433526,0.34014618
TEST_00188,2.5128527,-0.3617884,-0.012643365
TEST_00189,1.4274923,0.74240994,0.3016308
TEST_00190,3.0169752,-1.881345,1.150217
TEST_00191,2.7818692,0.41818893,0.351047
TEST_00192,2.3562665,-0.6954294,1.1019498
TEST_00193,2.9059138,-1.1140938,1.0973127
TEST_00194,1.3736467,0.17156202,0.09499581
TEST_00195,2.2160397,0.64825,0.5345718
TEST_00196,3.3081985,-0.27533856,0.5294472
TEST_00197,1.9922179,-0.03430274,0.086983666
TEST_00198,3.72301,-0.19158232,0.7394325
TEST_00199,3.2923772,-0.58163613,-1.1066554
TEST_00200,4.751418,0.28226742,-0.19578095
TEST_00201,1.8172731,1.0934587,-0.19568767
TEST_00202,1.7743986,0.41613728,-0.47759175
TEST_00203,3.1047873,-0.4070764,0.07132786
TEST_00204,3.214177,0.9880272,-0.013673574
TEST_00205,1.2855622,0.48815653,0.24407856
TEST_00206,4.153559,0.4173862,0.5442334
TEST_00207,3.8186114,0.75580335,-0.15238906
TEST_00208,4.594562,-0.3443618,0.8265476
TEST_00209,2.2380688,0.66152626,0.1704379
TEST_00210,2.4659894,-0.17208849,0.21318771
TEST_00211,4.0853777,0.26767126,0.18034303
TEST_00212,4.0771217,1.045557,0.04228218
TEST_00213,2.2693634,0.6960217,-0.25501484
TEST_00214,3.0715647,0.07180186,0.41148123
TEST_00215,2.8126855,0.29111907,0.27853328
TEST_00216,2.7968936,-0.52122515,1.5623503
TEST_00217,1.5018967,0.17540808,0.7236554
TEST_00218,5.292316,0.22194491,-1.2259421
TEST_00219,1.380844,-0.28691617,-0.22374116
TEST_00220,3.2231207,-0.20497473,-0.785476
TEST_00221,2.9801877,0.26603323,-0.11427875
TEST_00222,1.3831016,0.47890663,0.28380778
TEST_00223,3.7513585,-0.40724304,0.2679303
TEST_00224,1.3055679,0.58725387,0.08747903
TEST_00225,4.9384694,-1.7285742,-0.41838917
TEST_00226,3.0230227,-0.2682477,-1.115147
TEST_00227,4.512624,0.039335415,0.61965185
TEST_00228,2.2675102,-0.42649975,0.21256047
TEST_00229,3.9499457,1.7078195,-0.5699185
TEST_00230,2.3048942,0.19330415,0.58416367
TEST_00231,2.728202,0.80620456,0.12185371
TEST_00232,3.4301655,1.7393228,0.06305008
TEST_00233,3.317191,1.0470805,-0.8443007
TEST_00234,1.9546199,0.67067355,-0.048556812
TEST_00235,1.993668,0.061797995,0.20124333
TEST_00236,3.456079,-1.7276996,1.3472337
TEST_00237,2.102381,0.93914443,0.19406492
TEST_00238,1.7428384,-0.24227718,-0.65668637
TEST_00239,6.3199577,-0.5731366,-0.8347251
TEST_00240,2.5678706,1.6343985,0.5964378
TEST_00241,4.7119083,0.87510765,1.329402
TEST_00242,1.3070456,0.41161805,-0.3944614
TEST_00243,2.0246935,0.83396876,-0.8815353
TEST_00244,3.3522232,0.22278662,0.054822728
TEST_00245,2.25186,0.9649454,-0.2706442
TEST_00246,4.0240536,-0.2694455,0.16013952
TEST_00247,4.484512,-1.0387391,0.311975
TEST_00248,1.2277205,0.5787978,-0.10761286
TEST_00249,3.7911153,0.262374,-0.44591224
TEST_00250,2.0425963,-0.012941886,-0.006608611
TEST_00251,3.6727002,-0.0687554,-0.093056664
TEST_00252,3.0734892,0.22340858,-0.5767407
TEST_00253,2.7738652,-0.31224364,-0.22958161
TEST_00254,1.60041,-0.6541349,-0.022329878
TEST_00255,1.8795061,0.013997558,0.024918858
TEST_00256,1.0742756,0.3601623,0.63511366
TEST_00257,1.7929486,0.15252973,0.089633554
TEST_00258,2.5187125,0.77778774,0.45314372
TEST_00259,3.2540572,0.30062896,0.99631864
TEST_00260,2.409561,0.8795872,0.20405513
TEST_00261,1.6542279,0.11945243,0.44984013
TEST_00262,1.0519735,-0.024480563,0.22246392
TEST_00263,2.1286905,0.33830765,0.6622215
